id,taxonomy,name_en,name_de,latitude,longitude,points,cityId,imageUrl,description_en,description_de,isActive,isTheme,endDate,startDate,label,userId,pin,address
clz6291d5000adywwc32ksy7g,ATTRACTION,Neckar Island,Neckarinsel,48.518353,9.052277,140,clz627elo0000mybntk1bb38g,,A serene island in the Neckar River,Eine ruhige Insel im Neckar,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/forest.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL2ZvcmVzdC5wbmciLCJpYXQiOjE3MjMzNzY2ODYsImV4cCI6MTc1NDkxMjY4Nn0.bqZ27ZiDv93I5KR4HFCP5pzVThN_y03kQRwv47abxAM&t=2024-08-11T11%3A44%3A46.879Z,
clz6291fm000bdywwtfanbduw,ATTRACTION,Psychological Collection,Psychologische Sammlung,48.525174,9.055254,220,clz627elo0000mybntk1bb38g,,University collections featuring psychological exhibits,Universitätssammlungen mit psychologischen Exponaten,true,,,,,,,
clz6291i4000cdywwy88wjbl0,ATTRACTION,French Quarter,Französisches Viertel,48.511075,9.080775,190,clz627elo0000mybntk1bb38g,,A vibrant neighborhood with French influences,Ein lebhaftes Viertel mit französischen Einflüssen,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz6291ki000ddywwyp6jbz8l,ATTRACTION,Botanical Garden of University Tübingen,Botanischer Garten der Universität Tübingen,48.539253,9.037262,200,clz627elo0000mybntk1bb38g,,A garden showcasing a variety of plants,Ein Garten mit einer Vielzahl von Pflanzen,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/forest.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL2ZvcmVzdC5wbmciLCJpYXQiOjE3MjMzNzY2ODYsImV4cCI6MTc1NDkxMjY4Nn0.bqZ27ZiDv93I5KR4HFCP5pzVThN_y03kQRwv47abxAM&t=2024-08-11T11%3A44%3A46.879Z,
clz6291n3000edyww77yy46ft,ATTRACTION,Palaeontological Collection,Paläontologische Sammlung,48.526312,9.059928,150,clz627elo0000mybntk1bb38g,,A collection of paleontological finds,Eine Sammlung paläontologischer Funde,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/ss2.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3NzMi5wbmciLCJpYXQiOjE3MjMzNzY2MDMsImV4cCI6MTc1NDkxMjYwM30.WdIRnq4KewpD6T8jYjldYJcZQ1R4yKe0alMip3rIGsY&t=2024-08-11T11%3A43%3A23.866Z,
clz6291pg000fdywwv0pj5l6g,ATTRACTION,Bebenhausen Monastery,Bebenhäuser Pfleghof,48.520603,9.05704,120,clz627elo0000mybntk1bb38g,,A historical building with medieval architecture,Ein historisches Gebäude mit mittelalterlicher Architektur,true,,,,,,,
clz6291rn000gdywws1u1bzkn,ATTRACTION,Old Burse,Alte Burse,48.519563,9.055296,110,clz627elo0000mybntk1bb38g,,An ancient building once used as a student residence,Ein altes Gebäude,true,,,,,,,
clz6291ub000hdywwyifirdu0,ATTRACTION,Hölderlin Tower/Museum,Hölderlinturm/Museum,48.519425,9.056118,200,clz627elo0000mybntk1bb38g,,A museum dedicated to the poet Friedrich Hölderlin,Ein Museum,true,true,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz6291wo000idywwyhnysde2,ATTRACTION,The Evangelical Abbey,Evangelisches Stift,48.529346,9.148286,130,clz627elo0000mybntk1bb38g,,A historic Protestant seminary,Ein historisches evangelisches Seminar,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/question2.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3F1ZXN0aW9uMi5wbmciLCJpYXQiOjE3MjMzODIxMDYsImV4cCI6MTc1NDkxODEwNn0.-fmsmB5IVl2J2dv2pj3ANHwJwW59UukQ3V9d7zSxGbY&t=2024-08-11T13%3A15%3A06.726Z,
clz6291z6000jdywwil6ay33u,ATTRACTION,The Arthall of Tübingen,Kunsthalle Tübingen,48.542254,9.048216,240,clz627elo0000mybntk1bb38g,,An art gallery featuring contemporary works,Eine Kunstgalerie mit zeitgenössischen Werken,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz62921e000kdywwr6zsssl0,ATTRACTION,Krumme Bridge,Krümme Brücke,48.521263,9.052662,90,clz627elo0000mybntk1bb38g,,A charming bridge with a unique design,Eine charmante Brücke mit einzigartigem Design,true,,,,,,,
clz629246000ldyww3aq3ctso,ATTRACTION,Ancient Culture Museum,Museum Alte Kulturen,48.520224,9.05118,200,clz627elo0000mybntk1bb38g,,A museum dedicated to preserving old culture,Ein Museum zur Bewahrung alter Kulturen,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/castle.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL2Nhc3RsZS5wbmciLCJpYXQiOjE3MjMzNzY4MDQsImV4cCI6MTc1NDkxMjgwNH0.oQfmdAKLjQMsmr2uqDkugeMzcSAbSe4d8dhvb4gpfF8&t=2024-08-11T11%3A46%3A44.553Z,
clz62926z000mdywweeiv92e8,ATTRACTION,Boxenstop Museum,Boxenstop Museum,48.523957,9.063395,210,clz627elo0000mybntk1bb38g,,A museum dedicated to automobiles and toys,Ein Museum für Automobile und Spielzeug,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz62929b000ndyww5x64c99w,ATTRACTION,St. George's Collegiate Church,Stiftskirche,48.520853,9.056209,250,clz627elo0000mybntk1bb38g,,A prominent church known for its architecture,Eine bekannte Kirche für ihre Architektur,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/ss2.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3NzMi5wbmciLCJpYXQiOjE3MjMzNzY2MDMsImV4cCI6MTc1NDkxMjYwM30.WdIRnq4KewpD6T8jYjldYJcZQ1R4yKe0alMip3rIGsY&t=2024-08-11T11%3A43%3A23.866Z,
clz6292cp000odywwbe8sw9ya,ATTRACTION,Tübingen City Hall,Rathaus Tübingen,48.520823,9.053712,230,clz627elo0000mybntk1bb38g,,The historic town hall building,Das historische Rathaus,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz6292f7000pdywwb9ul8q9x,ATTRACTION,Hohentübingen Castle,Schloss Hohentübingen,48.51937,9.050188,300,clz627elo0000mybntk1bb38g,,A medieval castle overlooking the city,Eine mittelalterliche Burg mit Blick auf die Stadt,true,,,,,,,
clz6292hw000qdywwvhc5qm45,ATTRACTION,Zwingel City Wall,Zwingelmauer,48.519515,9.0574,160,clz627elo0000mybntk1bb38g,,A historic wall along the Neckar River,Eine historische Mauer entlang des Neckars,true,,,,,,,
clz6292ks000rdywwmvvknajr,ATTRACTION,Ammergasse,Ammergasse,48.521034,9.051303,100,clz627elo0000mybntk1bb38g,,A picturesque street known for its unique shops,Eine malerische Straße bekannt für ihre einzigartigen Geschäfte,true,,,,,,,
clz6292n9000sdyww6fkpoy3l,ATTRACTION,Tübingen Castle Laboratory,Schlosslabor,48.519733,9.052164,110,clz627elo0000mybntk1bb38g,,A research lab located within a castle,Ein Forschungslabor in einer Burg,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/question2.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3F1ZXN0aW9uMi5wbmciLCJpYXQiOjE3MjMzODIxMDYsImV4cCI6MTc1NDkxODEwNn0.-fmsmB5IVl2J2dv2pj3ANHwJwW59UukQ3V9d7zSxGbY&t=2024-08-11T13%3A15%3A06.726Z,
clz6292q7000tdywwg7fqa09f,ATTRACTION,Ancient Oriental Collection,Altorientalische Sammlung,48.520083,9.052652,220,clz627elo0000mybntk1bb38g,,University collections featuring ancient oriental exhibits,Universitätssammlungen mit verschiedenen Ausstellungen,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/ss2.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3NzMi5wbmciLCJpYXQiOjE3MjMzNzY2MDMsImV4cCI6MTc1NDkxMjYwM30.WdIRnq4KewpD6T8jYjldYJcZQ1R4yKe0alMip3rIGsY&t=2024-08-11T11%3A43%3A23.866Z,
