taxonomy,name,latitude,longitude,points,cityId,meta,isActive
ATTRACTION,Old Botanical Garden,48.518,9.055,28,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Alte Botanische Garten in Tübingen ist ein historischer Garten, der eine Vielzahl von Pflanzen beherbergt."", ""en"": ""The Old Botanical Garden in Tübingen is a historical garden home to a variety of plants.""}}",TRUE
ATTRACTION,Bebenhausen Pflegehof,48.5165,9.0572,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Bebenhäuser Pfleghof ist ein historisches Gebäude mit einem schönen Innenhof, das eine interessante Geschichte bietet."", ""en"": ""The Bebenhäuser Pfleghof is a historic building with a beautiful courtyard, offering an interesting history.""}}",TRUE
ATTRACTION,Botanical Garden of the University of Tübingen,48.5173,9.0516,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Botanische Garten der Universität Tübingen bietet eine vielfältige Pflanzenwelt und ist ein Ort der Forschung und Bildung."", ""en"": ""The Botanical Garden of the University of Tübingen offers a diverse plant collection and is a place of research and education.""}}",TRUE
ATTRACTION,BOXENSTOP Auto · Motorbike · Toys,48.501,9.0605,34,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die BOXENSTOP Ausstellung zeigt klassische Autos, Motorräder und eine große Sammlung von Spielzeugen."", ""en"": ""The BOXENSTOP exhibition features classic cars, motorcycles, and a large collection of toys.""}}",TRUE
EXPERIENCE,Burse,48.5206,9.0487,31,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Burse ist ein historisches Gebäude, das früher als Handelsbörse genutzt wurde."", ""en"": ""The Burse is a historic building that was formerly used as a trading exchange.""}}",TRUE
ATTRACTION,Cotta House,48.5202,9.0465,29,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Cotta-Haus ist ein historisches Gebäude, das für seine architektonische Bedeutung bekannt ist."", ""en"": ""The Cotta-Haus is a historic building known for its architectural significance.""}}",TRUE
ATTRACTION,Erich Fromm Institute Tübingen,48.5222,9.0495,32,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Erich Fromm Institut widmet sich der Erforschung und Vermittlung der Ideen des Psychoanalytikers Erich Fromm."", ""en"": ""The Erich Fromm Institute is dedicated to researching and promoting the ideas of psychoanalyst Erich Fromm.""}}",TRUE
ATTRACTION,Evangelical Foundation,48.5198,9.0505,33,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Evangelische Stift ist ein historisches Gebäude und Stift, das religiöse und kulturelle Bedeutung hat."", ""en"": ""The Evangelisches Stift is a historic building and foundation with religious and cultural significance.""}}",TRUE
ATTRACTION,Hesse Cabinet at Antiquariat Heckenhauer,48.5205,9.0468,27,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Hesse Kabinett bietet eine Sammlung von Werken des Autors Hermann Hesse und ist in einem Antiquariat untergebracht."", ""en"": ""The Hesse Cabinet offers a collection of works by author Hermann Hesse and is housed in an antiquarian bookstore.""}}",TRUE
ATTRACTION,Holzmarkt (Wood Market),48.5189,9.0603,28,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Holzmarkt ist ein historischer Platz, bekannt für seine Holzarchitektur und Veranstaltungen."", ""en"": ""The Holzmarkt is a historic square known for its wooden architecture and events.""}}",TRUE
ATTRACTION,St. James Church Tübingen,48.5208,9.0473,34,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Jakobuskirche ist eine bedeutende Kirche in Tübingen mit einer reichen Geschichte."", ""en"": ""Jakobuskirche is a significant church in Tübingen with a rich history.""}}",TRUE
ATTRACTION,St. John's Church,48.5215,9.0465,32,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Johanneskirche ist eine historische Kirche, die für ihre Architektur und Gemeindeveranstaltungen bekannt ist."", ""en"": ""Johanneskirche is a historic church known for its architecture and community events.""}}",TRUE
ATTRACTION,Judengasse (Jewish Alley),48.5197,9.0599,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Judengasse ist eine historische Straße, die für ihre mittelalterliche Architektur bekannt ist."", ""en"": ""The Judengasse is a historic street known for its medieval architecture.""}}",TRUE
ATTRACTION,Klangkörper (Musical Instruments Collection),48.5204,9.0489,28,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Klangkörper Sammlung bietet eine Vielzahl historischer Musikinstrumente."", ""en"": ""The Klangkörper collection features a variety of historical musical instruments.""}}",TRUE
ATTRACTION,Crooked Bridge and Ammergasse,48.5187,9.0593,26,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Krumme Brücke und die Ammergasse sind historische Sehenswürdigkeiten mit charmanten mittelalterlichen Elementen."", ""en"": ""The Krumme Brücke and Ammergasse are historic sights with charming medieval elements.""}}",TRUE
ATTRACTION,Mathematical Permanent Exhibition,48.5201,9.0519,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Mathematische Dauerausstellung bietet einen Überblick über die Entwicklung mathematischer Konzepte und Theorien."", ""en"": ""The Mathematical Permanent Exhibition provides an overview of the development of mathematical concepts and theories.""}}",TRUE
ATTRACTION,Mineralogical Collection of the University of Tübingen,48.5207,9.0501,32,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Mineralogische Sammlung zeigt eine umfangreiche Sammlung von Mineralien und Gesteinen."", ""en"": ""The Mineralogical Collection features an extensive collection of minerals and rocks.""}}",TRUE
ATTRACTION,Natursteinpark Rongen (Natural Stone Park Rongen),48.5221,9.0598,31,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Natursteinpark Rongen bietet eine Ausstellung von Natursteinen und eine Umgebung für Spaziergänge."", ""en"": ""The Natursteinpark Rongen offers an exhibit of natural stones and a setting for walks.""}}",TRUE
ATTRACTION,Schönbuch Nature Park,48.5213,9.0503,40,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Naturpark Schönbuch ist ein großes Naturschutzgebiet ideal für Wanderungen und Naturbeobachtungen."", ""en"": ""The Schönbuch Nature Park is a large nature reserve ideal for hiking and nature observation.""}}",TRUE
EXPERIENCE,Neckarfront Tübingen,48.5183,9.0558,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Neckarfront in Tübingen bietet eine malerische Aussicht auf den Fluss und die historische Architektur."", ""en"": ""The Neckarfront in Tübingen offers a picturesque view of the river and historic architecture.""}}",TRUE
ATTRACTION,New Aula,48.5217,9.0531,32,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Neue Aula ist ein historisches Gebäude der Universität Tübingen, das für Veranstaltungen genutzt wird."", ""en"": ""The Neue Aula is a historic building of the University of Tübingen used for events.""}}",TRUE
ATTRACTION,Paleontological Collection,48.5203,9.0516,28,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Paläontologische Sammlung zeigt Fossilien und andere prähistorische Funde."", ""en"": ""The Paleontological Collection displays fossils and other prehistoric finds.""}}",TRUE
ATTRACTION,Psychological Collection of the University of Tübingen,48.5212,9.0525,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Psychologische Sammlung bietet eine Übersicht über die Geschichte der Psychologie und ihre Entwicklung."", ""en"": ""The Psychological Collection provides an overview of the history of psychology and its development.""}}",TRUE
ATTRACTION,Hohentübingen Castle,48.5215,9.0499,35,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Schloss Hohentübingen ist eine historische Burg mit Blick über die Stadt und ein bedeutendes Museum."", ""en"": ""Hohentübingen Castle is a historic fortress with views over the city and an important museum.""}}",TRUE
ATTRACTION,Castle Laboratory,48.5209,9.0512,31,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Schlosslabor ist ein historisches Labor, das Einblicke in die wissenschaftlichen Arbeiten der Vergangenheit bietet."", ""en"": ""The Schlosslabor is a historic laboratory offering insights into past scientific work.""}}",TRUE
ATTRACTION,Castle Observatory,48.5223,9.0486,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Schloss-Sternwarte ist eine historische Sternwarte mit Ausstellungen zur Astronomie."", ""en"": ""The Schloss-Sternwarte is a historic observatory with exhibits on astronomy.""}}",TRUE
ATTRACTION,Krumme Bridge,48.5218,9.0560,40,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Die Krumme Brücke ist eine historische Brücke aus dem 14. Jahrhundert, die die Grenze zwischen Ober- und Unterstadt markiert."", ""en"": ""The Krumme Bridge is a historic bridge from the 14th century, marking the boundary between the upper and lower town.""}}",TRUE
